"Lat","Lon"
37.11270465,-122.3127005
37.10212527,-122.3283155
36.97447872,-122.1496546
36.97569098,-122.1468313
36.96479785,-122.134164
36.96085245,-122.1225674
36.95350018,-122.1036286
36.95121826,-122.0921643
36.94871924,-122.0801544
36.94654831,-122.0691272
36.9465778,-122.0628665
36.9469401,-122.0572698
36.94712514,-122.0515788
36.94936917,-122.0355462
36.95066196,-122.0254301
36.95437708,-121.9822733
36.95170203,-121.972862
36.95688498,-121.96364
36.95991832,-121.9598523
36.96632448,-121.9527369
36.97198693,-121.9436655
36.61239659,-121.8958342
36.61607497,-121.8970052
36.61962322,-121.9003027
36.62527454,-121.9115499
36.6330281,-121.9206757
36.63887008,-121.9272952
36.64038171,-121.9374561
36.63479814,-121.9443534
36.62015134,-121.9525603
36.61369474,-121.9602198
36.5922433,-121.9690452
36.5864838,-121.9717468
36.58301217,-121.9790766
36.57378365,-121.9765362
36.56606675,-121.9691266
36.56210392,-121.965196
36.56210315,-121.9595056
36.56195637,-121.9506675
36.56067333,-121.940979
36.55332709,-121.9371657
36.54795108,-121.9367144
36.54022566,-121.9356682
36.53191398,-121.9287287
36.52545137,-121.9324038
36.52374529,-121.9402779
36.5195128,-121.9572078
36.51512451,-121.9527687
36.51031088,-121.9459713
36.50392867,-121.9419738
36.49680311,-121.9444928
36.48723278,-121.9472311
36.48057001,-121.9432786
36.47203575,-121.9399945
36.46476012,-121.9333195
36.45847917,-121.9298764
36.45153891,-121.9327274
36.44237324,-121.9268878
36.43272503,-121.9264355
36.42705104,-121.9212855
36.41895977,-121.9195504
36.41156215,-121.9182386
36.40270599,-121.914822
36.39616311,-121.9092035
36.38952234,-121.9075002
36.38087561,-121.9079437
36.37094093,-121.908067
36.36605982,-121.9065917
36.36015616,-121.9079422
36.3475398,-121.9038042
36.3419429,-121.9006349
36.33729498,-121.8998258
36.32811251,-121.9020879
36.31386154,-121.9021743
36.3042719,-121.9026914
36.29635678,-121.8969858
36.29467617,-121.8903279
36.28443466,-121.8866092
36.2812741,-121.8768665
36.27440795,-121.8665645
36.27319274,-121.860011
36.26578878,-121.8554603
36.2625328,-121.8509976
36.23189849,-121.810037
36.23165503,-121.8038749
36.22891949,-121.7927091
36.22537185,-121.7859604
36.22162787,-121.7733135
36.21657095,-121.7663626
36.21242715,-121.759329
36.20902136,-121.75376
36.20466127,-121.7447583
36.20007667,-121.7310553
36.19599683,-121.7236319
36.18927526,-121.7141792
36.18486724,-121.7087734
36.17789093,-121.7024617
36.17181072,-121.6947321
36.16640374,-121.6855402
36.1629487,-121.6791007
36.15414248,-121.6718773
36.14907263,-121.6659856
36.13931076,-121.6589193
36.13363679,-121.653468
36.12663647,-121.647981
36.12135261,-121.639572
36.11388262,-121.6341967
36.10631074,-121.6298238
36.09885614,-121.6264763
36.09106088,-121.6232497
36.08337364,-121.6188621
36.07444634,-121.6121292
36.06942749,-121.6056993
36.06697379,-121.5990733
36.04215912,-121.5873799
36.03540796,-121.5835717
36.02692327,-121.5804445
36.01988698,-121.5745181
36.0154568,-121.5658875
36.01458952,-121.5563504
36.01613058,-121.5465569
36.01284068,-121.5340409
36.00889987,-121.5255269
36.00624965,-121.5181691
36.00220926,-121.5080424
35.991186,-121.5009417
35.98542053,-121.4970119
35.97668147,-121.4920672
35.9712413,-121.4900004
35.95984264,-121.4883056
35.95291502,-121.4876854
35.94256962,-121.4833114
35.93115231,-121.4797255
35.91717848,-121.4775856
35.91084703,-121.4734722
35.90670453,-121.4675073
35.89653798,-121.471504
35.88873533,-121.467264
35.88090348,-121.4581485
35.87497242,-121.4524707
35.86889513,-121.4470514
35.86366816,-121.4377982
35.86037724,-121.4299398
35.85644375,-121.4190759
35.84123048,-121.4089836
35.8350907,-121.4024758
35.82752118,-121.3962479
35.82102046,-121.390193
35.8155501,-121.3807454
35.81003651,-121.3761624
35.80673667,-121.3649835
35.80127082,-121.3567574
35.79502856,-121.3499934
35.78894157,-121.3431684
35.78439427,-121.3377621
35.74004379,-121.3262558
35.73387773,-121.3203306
35.72325126,-121.3252718
35.71249137,-121.3216898
35.70447985,-121.3107308
35.69587906,-121.3057605
35.69135151,-121.2992043
35.66298391,-121.2838969
35.66415278,-121.2766524
35.66083143,-121.2693205
35.65997258,-121.2626394
35.65667856,-121.2570515
35.65107559,-121.2505217
35.64623897,-121.2408474
35.64244731,-121.2304193
35.64163686,-121.221941
35.63733648,-121.2135187
35.63353583,-121.1997017
