1475,4159,79883,2506.5,21453,16004,38738,0,2966,95781,122082,8881,0,268215,129328,15276,133,28671,317564,2303,0,177231,179342,1053,0,299775,396191,625,0,206754,568599,2710,0,74902,16806,355,0,56090,103070.5,3327,133,99714,70358,12545,0,828,61986,6487,0,123871,294980,500,0,9284,49060,9927,1502,115132,76860,19802,1269,144098,153385,13461,0,7220,24780,801,2201,13372,30986,157,0,18979,31851,0,0,18228,73989,0,467,60812,148756,3769,0,28422,111492,8411,1235,31111,138819,1311,9337,88992,147016,4832,199,115510,150633,0,700,12033,94649,296,0,26087,74134,326,630,56946,80711,340,2120,142800,188917,5945,29060,354440,73118,6878,0,131456,309732,25985,8894,278945,275389,22503,133,91159,82526,0
2956,44477,71330,3415,39965,67823,106161,0,475,253273,197353,10448,0,523051,88177,12791,475,30283,145413,2184,0,254980,180242,565,0,301474,383430,0,0,272918,467835,3029,0,110147.5,14062,0,0,53927,145413,4054,475,103692,44372,8482,0,3924,66890,9712,0,218406,374208,0,0,14411,99531,11015,12094,216515,145413,57379,4304,328945,277946,35378,0,32740,94570,14492,3454,108078,139010,825,1147,71313,87310,1062,0,33986,154853,0,56,79569,138658,4359,0,19988,87170,3801,1959,40534,190972,1439,3996,129980,155935,6559,847,148260,169594,0,3561,89137,216645,14590,331,112217,175215,3007,1028,125534,128639,478,4112,251020,224408,6992,18037,373801,54139,1950,0,98754,275863,31973,5904,255042,265680,23714,1215,159035,84712,0
12628,138813,116655,9197,121613,146904,315809,359,17849,369029,343789,29431,0,662996,193226,45065,8447,72058,273065,12244,0,409971,192067,4456,12202,457789,603481,2239,0,217590,614176,652,0,193326.5,48978,0,516,105777,273065,3998,8447,169063,113492,17673,0,8505,129378,10295,0,338093,509587,226,0,9170,173759,12896,20077,371823,305556,130808,30891,544523,424909,38498,0,58557,260565,45145,8895,167395,293296,1384,1034,93995,110352,2192,0,23545,175464,0,1609,101760,273065,22024,134,35912,244253,15443,12795,218470,354672,7492,29502,257103,210180,20908,8447,281059,279965,0,24049,113477,376597,42113,15167,225726,305195,8099,10057,243831,205417,1370,15152,423359,372767,14484,22644,483134,81715,5131,0,101788,357601,30154,14475,288430,360342,30673,0,136657,116847,268
32446,189668,323049,3510,128255,279114,323106,5003,89935,630117,409130,0,0,1136535,31650,24952,2123.5,331274,288681,30890,0,581079,288681,1475,3246,598857,854649,449,0,655873,792552,0,0,325084,28476,0,0,56882,288681,0,0,232120,102314,4935,0,30509,253345,6093,3439,900165,942118,0,0,207881,283333,1492,29939,805999,299804,168051,32651,894223,356446,23765,0,75712,245509,15508,11949,357751,285269,172,1627,192163,231422,940,0,77529,330980,0,653,215730,350914,28596,0,72608,286172,40263,50638,405753,474884,34383,92188,436365,221916,56750,28340,547049,407652,144,64417,416395,535576,37084,69020,527151,384142,17991,2620,168827,218350,0,208,318894,230154,7715,74595,770610,56416,2085,0,9603,112814,5456,3517,280393,296697,1001,380,140940,141079,0
699,38097,266217,491,73424,182708,211249,0,3667,176965,137907,986,0,158090,27564,364,1857.5,0,296245,528,0,69967,35609,0,1622,137617,137907,2181,1827,121639,303766,0,0,121639,34532,0,0,106391,137907,819,0,180079,61560,3344,0,10164,51839,4798,0,226027,341114,0,404,52033,142707,454,25572,312748,60587,45374,3266,334061,219868,12170,220,43576,147238,10955,3102,121639,141462,127,249,42013,89813,344,0,28023,220619,1094,19343,213594,329203,0,1931,85722,147207,438,10426,199952,188482,1442,10469,134507,91331,1335,3709,127047,170395,0,16304,72165,147453,0,7879,103582,92175,822,1700,68840,129892,0,8070,321839,127901,6983,15158,261131,52074,239,0,5632,76224,9796,7018,150688,89093,575,1888,70996,48585,145
3240,14834,66812,547.5,31091,68446,79448,1529,5587,146884,152993,2152,507,295935,8043,1273,1309,0,191157,2418,0,37104,68045,0,0,85047,203783,0,0,48064,160395,0,0,48064,13241,0,0,18912,66325,0,1309,23846,14787,734,0,3520,66325,768,0,111493,148372,0,0,6892,13710,63,2824,113275,27673,26951,7118,99879,74217,15403,0,14264,25673,0,1309,62513,19129,469,1407,17106,29807,0,0,16860,42554,0,246,26984,118296,1821,0,41743,116707,10356,6284,101908,122065,7166,8851,87645,54593,18903,3591,59916,92969,0,6622,30789,42743,626,7589,48064,22776,295,127,29876,66325,8110,19541,365268,185482,23297,63335,292152,39652,0,0,19860,104211,0,2424,121814,38078,2553,5611,56026,46219,0
95952,245479,422462,26632.5,481716,886379,547201,93396,164378,981597,591192,33109,0,1312669,40764,193210,55055,228869,881596,99208,0,500163,574196,4370,13647,661914,1067192,11866,15890,661914,629060,2789,0,661914,108258,312,5160,598835,422462,2072,55055,343513,43154,20156,8077,96057,422462,18714,41586,1152014,578047,5931,7611,364799,226142,10739,210761,1390386,328134,521860,181770,1253737,532260,189155,1784,368654,229713,108118,166065,879140,70305,55098,55055,236984,316055,376,0,402455,377712,0,36657,552024,669007,77916,6373,758081,663751,77618,212076,1586863,1148913,143520,310255,1213154,490311,222409,95743,793246,636142,1661,239988,620261,648613,82463,176344,753029,194088,11252,10446,396424,357129,100557,223512,1128490,353519,155778,427419,1002236,83772,2684,1344,350359,558064,1325,98791,1153211,186953,129802,144708,503813,253207,17025
10328,1671,109505,723,111436,176894,45721,1793,6727,125644,70947,0,0,317964,0,4639,6727,16179,72582,604,0,87808,46390,0,0,67983,61037,0,0,135653,108131,0,0,135653,3113,0,0,155017,44895,0,6727,59642,0,0,0,3355,44895,0,2317,135653,44895,2489,211,57144,22648,0,63246,286656,5601,79075,34693,184354,23636,14794,0,34338,15506,842,70959,271794,905,26829,29599,44738,13685,236,0,158743,71341,863,27793,254925,89720,3660,5295,274763,82668,8296,73186,563596,405403,18075,86423,389869,79255,13624,9590,221876,209884,0,78929,107371,196238,10495,35796,235502,17714,592,3512,9543,34444,1458,5182,114183,25806,0,49505,87220,15815,558,0,14371,39542,0,12129,182538,59999,3574,31473,149714,12615,9693
17976,53890,156525,34,86376,138287,80272,0,16449,84864,32097,0,0,143577,0,1046,8625,4746,18404,0,0,39136,18832,0,0,40753,19641,0,0,84864,10365,0,0,84864,0,0,2849,45734,18404,0,8625,14046,0,0,0,0,18404,0,0,17050,10966,3684,0,15226,3336,68,16552,78919,426,1677,8328,108448,12745,4017,0,25139,7329,2120,70100,219577,4952,13554,17272,19204,11994,0,0,82946,25507,0,18564,97853,15907,0,1904,153105,36831,5914,49611,381839,111148,3576,67551,266928,39815,2049,9360,260340,165801,0,62537,108574,143614,7536,40404,185715,15611,874,2351,8231,39506,436,13297,182119,30964,2762,46277,124303,15658,0,0,4739,25198,0,8625,111245,31322,557,22216,94885,1200,5015
1620,16629,77105,275.5,39638,89990,69431,0,7465,40804,17157,0,0,73415,0,0,3287,710,19011,317,0,22681,5781,0,0,28383,14922,0,304,40804,33512,172,0,40804,1265,0,0,33347,22452,193,3287,28824,0,0,0,1273,22452,1400,0,30967,60043,0,0,6485,5005,452,5256,52274,11694,21523,20430,119237,57171,7517,900,30217,24143,5336,30862,132092,9123,12443,1859,29145,8768,272,585,6972,22452,318,23079,90818,38073,0,4286,146723,69848,10060,29724,155682,119457,2149,41344,152196,32782,6669,6056,104888,114166,0,70981,69735,100606,15869,15871,124746,21017,0,0,87728,104351,3083,13448,114628,9712,1377,6092,23457,3829,0,0,5998,31944,0,3287,47642,26401,279,7628,21217,1526,4429
866,20705,72904,281,47110,87643,87918,0,5901,15704,3981,0,0,49751,0,0,2311,0,10657,1604,0,15868,4814,0,0,2112,538,0,239,39808,11240,0,0,39808,1371,0,0,19357,16205,0,2311,9213,0,0,0,0,16205,0,0,16762,39498,0,0,430,1388,206,5943,50342,5850,9991,10792,100755,53992,1291,707,20775,22324,7156,33872,136043,12460,12181,3426,39454,16205,0,2311,34148,34893,594,37043,167452,69636,5308,7324,229551,93972,14519,77740,308106,204702,5460,96172,308268,85767,14785,59875,202374,144850,0,93229,87289,162882,21870,29028,211678,45997,1461,0,188949,126620,3198,6190,137375,7955,421,1760,4098,1041,0,0,3667,6509,0,1402,55047,17120,356,3391,39808,1631,7200
